	Warning:  warning, (EE) error, (NI) not implemented, (??) unknown.
[   507.957] Warning:  Falling back to old probe method for fbdev
[   508.068] Warning:  VESA(0): Unable to estimate virtual size
[   508.068] Warning:  VESA(0): No valid modes left. Trying less strict filter...
[   508.068] Warning:  VESA(0): Unable to estimate virtual size
	(++) from command line, (!!) notice, Information:  informational,
[   507.901] Information:  Loader magic: 0x822c540
[   507.901] Information:  Module ABI versions:
[   507.908] Information:  The server relies on HAL to provide the list of input devices.
[   507.908] Information:  LoadModule: "extmod"
[   507.911] Information:  Loading /usr/lib/xorg/modules/extensions/libextmod.so
[   507.913] Information:  Module extmod: vendor="X.Org Foundation"
[   507.913] Information:  Loading extension SELinux
[   507.913] Information:  Loading extension MIT-SCREEN-SAVER
[   507.913] Information:  Loading extension XFree86-VidModeExtension
[   507.913] Information:  Loading extension XFree86-DGA
[   507.913] Information:  Loading extension DPMS
[   507.913] Information:  Loading extension XVideo
[   507.913] Information:  Loading extension XVideo-MotionCompensation
[   507.913] Information:  Loading extension X-Resource
[   507.913] Information:  LoadModule: "dbe"
[   507.913] Information:  Loading /usr/lib/xorg/modules/extensions/libdbe.so
[   507.915] Information:  Module dbe: vendor="X.Org Foundation"
[   507.915] Information:  Loading extension DOUBLE-BUFFER
[   507.915] Information:  LoadModule: "glx"
[   507.915] Information:  Loading /usr/lib/xorg/modules/extensions/libglx.so
[   507.918] Information:  Module glx: vendor="X.Org Foundation"
[   507.918] Information:  Loading extension GLX
[   507.918] Information:  LoadModule: "record"
[   507.918] Information:  Loading /usr/lib/xorg/modules/extensions/librecord.so
[   507.920] Information:  Module record: vendor="X.Org Foundation"
[   507.920] Information:  Loading extension RECORD
[   507.920] Information:  LoadModule: "dri"
[   507.920] Information:  Loading /usr/lib/xorg/modules/extensions/libdri.so
[   507.922] Information:  Module dri: vendor="X.Org Foundation"
[   507.922] Information:  Loading extension XFree86-DRI
[   507.922] Information:  LoadModule: "dri2"
[   507.922] Information:  Loading /usr/lib/xorg/modules/extensions/libdri2.so
[   507.923] Information:  Module dri2: vendor="X.Org Foundation"
[   507.923] Information:  Loading extension DRI2
[   507.923] Information:  LoadModule: "vesa"
[   507.923] Information:  Loading /usr/lib/xorg/modules/drivers/vesa_drv.so
[   507.924] Information:  Module vesa: vendor="X.Org Foundation"
[   507.924] Information:  LoadModule: "fbdev"
[   507.924] Information:  Loading /usr/lib/xorg/modules/drivers/fbdev_drv.so
[   507.924] Information:  Module fbdev: vendor="X.Org Foundation"
[   507.924] Information:  VESA: driver for VESA chipsets: vesa
[   507.924] Information:  FBDEV: driver for framebuffer: fbdev
[   507.957] Information:  Loading /usr/lib/xorg/modules/drivers/vesa_drv.so
[   507.957] Information:  Loading sub module "fbdevhw"
[   507.957] Information:  LoadModule: "fbdevhw"
[   507.957] Information:  Loading /usr/lib/xorg/modules/libfbdevhw.so
[   507.958] Information:  Module fbdevhw: vendor="X.Org Foundation"
[   507.972] Information:  Loading sub module "vbe"
[   507.972] Information:  LoadModule: "vbe"
[   507.972] Information:  Loading /usr/lib/xorg/modules/libvbe.so
[   507.975] Information:  Module vbe: vendor="X.Org Foundation"
[   507.975] Information:  Loading sub module "int10"
[   507.975] Information:  LoadModule: "int10"
[   507.975] Information:  Loading /usr/lib/xorg/modules/libint10.so
[   507.977] Information:  Module int10: vendor="X.Org Foundation"
[   507.977] Information:  VESA(0): initializing int10
[   507.978] Information:  VESA(0): Primary V_BIOS segment is: 0xc000
[   507.979] Information:  VESA(0): VESA BIOS detected
[   507.979] Information:  VESA(0): VESA VBE Version 2.0
[   507.979] Information:  VESA(0): VESA VBE Total Mem: 16384 kB
